task_id,title,owner_team,status,canonical_state,strategy_acceptance,data_readiness,parent_task,key_report,key_decision,key_artifacts,validation_command,notes
Task555,Frontend Regime Evidence Visualization,Frontend Team,Accepted,active,not-applicable,partial-source,Task554,docs/reports/task_555_frontend_regime_evidence_visualization/task_555_frontend_regime_evidence_visualization.md,docs/reports/task_555_frontend_regime_evidence_visualization/task_555_decision.csv,docs/reports/task_555_frontend_regime_evidence_visualization,python -m unittest tests.test_task548_555_quant_doc_alignment,Frontend visual evidence contract planned with catalog-only guardrail and no fake markers
Task556,VWAP Bandwalk Portfolio Revalidation,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task550,docs/reports/task_556_vwap_bandwalk_portfolio_revalidation/task_556_vwap_bandwalk_portfolio_revalidation.md,docs/reports/task_556_vwap_bandwalk_portfolio_revalidation/task_556_decision.csv,docs/reports/task_556_vwap_bandwalk_portfolio_revalidation,python -m unittest tests.test_task556_vwap_bandwalk_portfolio_revalidation,Task550 entry-safe VWAP band-walk structure states replayed through Task553-style portfolio diagnostics
Task557,VWAP Acceptance Ontology Rebuild,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task556,docs/reports/task_557_vwap_acceptance_ontology_rebuild/task_557_vwap_acceptance_ontology_rebuild.md,docs/reports/task_557_vwap_acceptance_ontology_rebuild/task_557_decision.csv,docs/reports/task_557_vwap_acceptance_ontology_rebuild,python -m unittest tests.test_task557_560_vwap_acceptance_development,Legacy failed VWAP reclaim naming replaced with entry-safe acceptance pullback failure chase ontology
Task558,Pullback Acceptance True Failure Test,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task557,docs/reports/task_558_pullback_acceptance_true_failure_test/task_558_pullback_acceptance_true_failure_test.md,docs/reports/task_558_pullback_acceptance_true_failure_test/task_558_decision.csv,docs/reports/task_558_pullback_acceptance_true_failure_test,python -m unittest tests.test_task557_560_vwap_acceptance_development,Controlled pullback absorption compared against true failure using labels only for evaluation
Task559,Context Gate Re-Attach,Regime Research,Accepted,active,diagnostic-only,partial-source,Task558,docs/reports/task_559_context_gate_reattach/task_559_context_gate_reattach.md,docs/reports/task_559_context_gate_reattach/task_559_decision.csv,docs/reports/task_559_context_gate_reattach,python -m unittest tests.test_task557_560_vwap_acceptance_development,Multi-day market theme symbol context reattached to VWAP acceptance states
Task560,Microstructure Confirmation Requirement,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task559,docs/reports/task_560_microstructure_confirmation_requirement/task_560_microstructure_confirmation_requirement.md,docs/reports/task_560_microstructure_confirmation_requirement/task_560_decision.csv,docs/reports/task_560_microstructure_confirmation_requirement,python -m unittest tests.test_task557_560_vwap_acceptance_development,NBBO spread size status LULD order-fill requirements defined as blockers without OHLCV approximation
Task561,Regime Theme Gate Failure Decomposition,Regime Research,Accepted,active,diagnostic-only,partial-source,Task560,docs/reports/task_561_regime_theme_gate_failure_decomposition/task_561_regime_theme_gate_failure_decomposition.md,docs/reports/task_561_regime_theme_gate_failure_decomposition/task_561_decision.csv,docs/reports/task_561_regime_theme_gate_failure_decomposition,python -m unittest tests.test_task561_565_firm_grade_context_development,Context gate failure decomposed before further strategy tweaking
Task562,VWAP Acceptance OOS Stability Test,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task561,docs/reports/task_562_vwap_acceptance_oos_stability_test/task_562_vwap_acceptance_oos_stability_test.md,docs/reports/task_562_vwap_acceptance_oos_stability_test/task_562_decision.csv,docs/reports/task_562_vwap_acceptance_oos_stability_test,python -m unittest tests.test_task561_565_firm_grade_context_development,VWAP acceptance states tested across train validation recent OOS quarter theme and symbol slices
Task563,Paper Shadow Microstructure Capture Activation,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task562,docs/reports/task_563_paper_shadow_microstructure_capture_activation/task_563_paper_shadow_microstructure_capture_activation.md,docs/reports/task_563_paper_shadow_microstructure_capture_activation/task_563_decision.csv,docs/reports/task_563_paper_shadow_microstructure_capture_activation,python -m unittest tests.test_task561_565_firm_grade_context_development,Task547 capture rows audited and market-hours NBBO status order-fill activation plan created
Task564,Event Driven Replay Promotion Gate,Backtest & Simulation Infra,Accepted,active,diagnostic-only,blocked-source,Task563,docs/reports/task_564_event_driven_replay_promotion_gate/task_564_event_driven_replay_promotion_gate.md,docs/reports/task_564_event_driven_replay_promotion_gate/task_564_decision.csv,docs/reports/task_564_event_driven_replay_promotion_gate,python -m unittest tests.test_task561_565_firm_grade_context_development,Context OOS stability and microstructure readiness converted into event-driven replay promotion gate
Task565,Regime VWAP Microstructure Retest,Backtest & Simulation Infra,Accepted,active,not-applicable,blocked-source,Task564,docs/reports/task_565_regime_vwap_microstructure_retest/task_565_regime_vwap_microstructure_retest.md,docs/reports/task_565_regime_vwap_microstructure_retest/task_565_decision.csv,docs/reports/task_565_regime_vwap_microstructure_retest,python -m unittest tests.test_task561_565_firm_grade_context_development,Final regime VWAP microstructure retest grid defined but blocked until live microstructure axes are ready
Task566,Hypothesis Validation Gate Refactor,Research Governance,Accepted,active,not-applicable,partial-source,Task565,docs/reports/task_566_hypothesis_validation_gate_refactor/task_566_hypothesis_validation_gate_refactor.md,docs/reports/task_566_hypothesis_validation_gate_refactor/task_566_decision.csv,docs/reports/task_566_hypothesis_validation_gate_refactor,python -m unittest tests.test_task566_570_firm_grade_validation_loop,Firm-grade hypothesis validation gates and team perfect goals frozen before more optimization
Task567,Capital Flow Regime V6,Regime Research,Accepted,active,diagnostic-only,partial-source,Task566,docs/reports/task_567_capital_flow_regime_v6/task_567_capital_flow_regime_v6.md,docs/reports/task_567_capital_flow_regime_v6/task_567_decision.csv,docs/reports/task_567_capital_flow_regime_v6,python -m unittest tests.test_task566_570_firm_grade_validation_loop,Capital-flow regime rebuilt from pre-entry market breadth liquidity theme and symbol persistence fields
Task568,VWAP Pullback Sleeve Robustness,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task567,docs/reports/task_568_vwap_pullback_sleeve_robustness/task_568_vwap_pullback_sleeve_robustness.md,docs/reports/task_568_vwap_pullback_sleeve_robustness/task_568_decision.csv,docs/reports/task_568_vwap_pullback_sleeve_robustness,python -m unittest tests.test_task566_570_firm_grade_validation_loop,Controlled VWAP pullback and near-high absorption sleeves isolated and robustness-audited
Task569,Paper Shadow Microstructure Capture Run,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task568,docs/reports/task_569_paper_shadow_microstructure_capture_run/task_569_paper_shadow_microstructure_capture_run.md,docs/reports/task_569_paper_shadow_microstructure_capture_run/task_569_decision.csv,docs/reports/task_569_paper_shadow_microstructure_capture_run,python -m unittest tests.test_task566_570_firm_grade_validation_loop,Paper shadow capture rows audited and market-hours live NBBO status order-fill capture remains required
Task570,Event Driven Replay Promotion,Backtest & Simulation Infra,Accepted,active,not-applicable,blocked-source,Task569,docs/reports/task_570_event_driven_replay_promotion/task_570_event_driven_replay_promotion.md,docs/reports/task_570_event_driven_replay_promotion/task_570_decision.csv,docs/reports/task_570_event_driven_replay_promotion,python -m unittest tests.test_task566_570_firm_grade_validation_loop,Promotion gate blocks event-driven replay until microstructure and broker truth hard gates pass
Task571,Alpaca SIP Microstructure Capture Activation,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task570,docs/reports/task_571_alpaca_sip_microstructure_capture_activation/task_571_alpaca_sip_microstructure_capture_activation.md,docs/reports/task_571_alpaca_sip_microstructure_capture_activation/task_571_decision.csv,docs/reports/task_571_alpaca_sip_microstructure_capture_activation,python -m unittest tests.test_task571_alpaca_sip_microstructure_capture_activation,Alpaca SIP NBBO status LULD stream archive activation contract implemented; credentials/feed entitlement and market-hours capture remain required
Task572,Historical Quote Trade Source Acquisition,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task571,docs/reports/task_572_historical_quote_trade_source_acquisition/task_572_historical_quote_trade_source_acquisition.md,docs/reports/task_572_historical_quote_trade_source_acquisition/task_572_decision.csv,docs/reports/task_572_historical_quote_trade_source_acquisition,python -m unittest tests.test_task572_575_historical_microstructure_backfill,Historical Alpaca quotes/trades download contract and raw file audit added; missing sources remain blockers
Task573,Historical NBBO Feature Rebuild,Backtest & Simulation Infra,Accepted,active,diagnostic-only,blocked-source,Task572,docs/reports/task_573_historical_nbbo_feature_rebuild/task_573_historical_nbbo_feature_rebuild.md,docs/reports/task_573_historical_nbbo_feature_rebuild/task_573_decision.csv,docs/reports/task_573_historical_nbbo_feature_rebuild,python -m unittest tests.test_task572_575_historical_microstructure_backfill,Entry-time historical NBBO features rebuilt only from quote timestamps before exact lifecycle entry time
Task574,Historical Microstructure Failure Separation,Intraday Continuation Research,Accepted,active,diagnostic-only,blocked-source,Task573,docs/reports/task_574_historical_microstructure_failure_separation/task_574_historical_microstructure_failure_separation.md,docs/reports/task_574_historical_microstructure_failure_separation/task_574_decision.csv,docs/reports/task_574_historical_microstructure_failure_separation,python -m unittest tests.test_task572_575_historical_microstructure_backfill,Historical NBBO spread size imbalance buckets prepared for entry-reduce failure separation without live-ready claims
Task575,Microstructure Download Integration Gate,Research Governance,Accepted,active,not-applicable,blocked-source,Task574,docs/reports/task_575_microstructure_download_integration_gate/task_575_microstructure_download_integration_gate.md,docs/reports/task_575_microstructure_download_integration_gate/task_575_decision.csv,docs/reports/task_575_microstructure_download_integration_gate,python -m unittest tests.test_task572_575_historical_microstructure_backfill,Historical microstructure diagnostic readiness separated from receive timestamp live readiness and next action queue
Task576,Microstructure Aware Continuation Backtest,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task575,docs/reports/task_576_microstructure_aware_continuation_backtest/task_576_microstructure_aware_continuation_backtest.md,docs/reports/task_576_microstructure_aware_continuation_backtest/task_576_decision.csv,docs/reports/task_576_microstructure_aware_continuation_backtest,python -m unittest tests.test_task576_microstructure_aware_continuation_backtest,Capital-flow regime VWAP sleeve and historical NBBO spread depth imbalance combined into diagnostic continuation backtest
Task577,Historical NBBO Trajectory Factor Rebuild,Data & Market Microstructure,Accepted,active,diagnostic-only,partial-source,Task576,docs/reports/task_577_historical_nbbo_trajectory_factor_rebuild/task_577_historical_nbbo_trajectory_factor_rebuild.md,docs/reports/task_577_historical_nbbo_trajectory_factor_rebuild/task_577_decision.csv,docs/reports/task_577_historical_nbbo_trajectory_factor_rebuild,python -m unittest tests.test_task577_580_nbbo_trajectory_validation,Entry-before-only NBBO quote trajectory factors built from historical quotes without receive timestamp live-ready claims
Task578,Regime VWAP NBBO Trajectory Backtest,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task577,docs/reports/task_578_regime_vwap_nbbo_trajectory_backtest/task_578_regime_vwap_nbbo_trajectory_backtest.md,docs/reports/task_578_regime_vwap_nbbo_trajectory_backtest/task_578_decision.csv,docs/reports/task_578_regime_vwap_nbbo_trajectory_backtest,python -m unittest tests.test_task577_580_nbbo_trajectory_validation,Capital-flow regime VWAP sleeve and NBBO trajectory states tested for continuation failure separation
Task579,Live Paper Capture Readiness Upgrade,Execution & Risk,Accepted,active,not-applicable,blocked-source,Task578,docs/reports/task_579_live_paper_capture_readiness_upgrade/task_579_live_paper_capture_readiness_upgrade.md,docs/reports/task_579_live_paper_capture_readiness_upgrade/task_579_decision.csv,docs/reports/task_579_live_paper_capture_readiness_upgrade,python -m unittest tests.test_task577_580_nbbo_trajectory_validation,Historical NBBO diagnostic separated from live receive timestamp paper and broker truth readiness
Task580,NBBO Trajectory Firm Grade Gate,Research Governance,Accepted,active,not-applicable,blocked-source,Task579,docs/reports/task_580_nbbo_trajectory_firm_grade_gate/task_580_nbbo_trajectory_firm_grade_gate.md,docs/reports/task_580_nbbo_trajectory_firm_grade_gate/task_580_decision.csv,docs/reports/task_580_nbbo_trajectory_firm_grade_gate,python -m unittest tests.test_task577_580_nbbo_trajectory_validation,NBBO trajectory validation gate emits continue refine or live capture next action without deployment claim
Task581,Quote Pressure Price Response Refinement,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task580,docs/reports/task_581_quote_pressure_price_response_refinement/task_581_quote_pressure_price_response_refinement.md,docs/reports/task_581_quote_pressure_price_response_refinement/task_581_decision.csv,docs/reports/task_581_quote_pressure_price_response_refinement,python -m unittest tests.test_task581_quote_pressure_price_response_refinement,Pre-entry NBBO pressure is paired with pre-entry mid/trade response without future data or missing source approximation
Task582,KIS Paper Trading Bridge,Execution & Risk,Accepted,active,not-applicable,partial-source,Task581,docs/reports/task_582_kis_paper_trading_bridge/task_582_kis_paper_trading_bridge.md,docs/reports/task_582_kis_paper_trading_bridge/task_582_decision.csv,docs/reports/task_582_kis_paper_trading_bridge,python -m src.app.task_582_kis_paper_trading_bridge --no-slack,KIS paper connectivity Slack notification and trading DB lineage are exposed while dummy fallback is blocked
Task583,Live Signal Refresh Repair,Data & Market Microstructure,Accepted,active,not-applicable,runtime-source,Task582,docs\reports\task_583_live_signal_refresh_repair\task_583_live_signal_refresh_repair.md,docs\reports\task_583_live_signal_refresh_repair\task_583_decision.csv,docs\reports\task_583_live_signal_refresh_repair,python -m unittest tests.test_task583_live_signal_refresh_repair,Refreshes indicator snapshots from runtime KIS quote/bar source without stale override.
Task584,Runtime Strategy Decision Gate,Intraday Continuation Research,Accepted,active,diagnostic-only,runtime-source,Task583,docs\reports\task_584_runtime_strategy_decision_gate\task_584_runtime_strategy_decision_gate.md,docs\reports\task_584_runtime_strategy_decision_gate\task_584_decision.csv,docs\reports\task_584_runtime_strategy_decision_gate,python -m unittest tests.test_task584_runtime_strategy_decision_gate,Creates pre-order runtime decision snapshots with reason codes.
Task585,KIS Paper Order Execution And Lineage,Execution & Risk,Accepted,active,diagnostic-only,runtime-source,Task584,docs\reports\task_585_kis_paper_order_execution\task_585_kis_paper_order_execution.md,docs\reports\task_585_kis_paper_order_execution\task_585_decision.csv,docs\reports\task_585_kis_paper_order_execution,python -m unittest tests.test_task585_kis_paper_order_execution,Executes KIS paper orders only from runtime candidates and records lineage.
Task586,Frontend Paper Ops Integration V2,Frontend Team,Accepted,active,diagnostic-only,runtime-source,Task585,docs\reports\task_586_frontend_paper_ops_integration\task_586_frontend_paper_ops_integration.md,docs\reports\task_586_frontend_paper_ops_integration\task_586_decision.csv,docs\reports\task_586_frontend_paper_ops_integration,python -m unittest tests.test_task586_frontend_paper_ops_integration,Catalog-backed paper ops v2 UI integration.
Task587,Slack Trading Report Integration,Execution & Risk,Accepted,active,diagnostic-only,runtime-source,Task585,docs\reports\task_587_slack_trading_report_integration\task_587_slack_trading_report_integration.md,docs\reports\task_587_slack_trading_report_integration\task_587_decision.csv,docs\reports\task_587_slack_trading_report_integration,python -m unittest tests.test_task587_slack_trading_report_integration,Reports no-trade/order/fill state to Slack when webhook is configured.
Task588,KIS Paper Market Hours Runtime Loop,Execution & Risk,Accepted,active,diagnostic-only,runtime-source,Task587,docs\reports\task_588_kis_paper_market_hours_runtime_loop\task_588_kis_paper_market_hours_runtime_loop.md,docs\reports\task_588_kis_paper_market_hours_runtime_loop\task_588_decision.csv,docs\reports\task_588_kis_paper_market_hours_runtime_loop,python -m unittest tests.test_task588_kis_paper_market_hours_runtime_loop,Runs market-hours KIS paper flow with duplicate-order guard and catalog updates.
Task589,Nasdaq Paper Ops Hardening,Execution & Risk,Accepted,active,diagnostic-only,runtime-source,Task588,docs\reports\task_589_nasdaq_paper_ops_hardening\task_589_nasdaq_paper_ops_hardening.md,docs\reports\task_589_nasdaq_paper_ops_hardening\paper_eod_summary.csv,docs\reports\task_589_nasdaq_paper_ops_hardening,python -m unittest tests.test_task589_nasdaq_paper_ops_hardening,"Adds Nasdaq holiday/early-close guard, EOD Slack report, and supervisor failure alert."
Task590,Runtime Market Data Source Unification,Data & Market Microstructure,Accepted,active,not-applicable,partial-runtime-source,Task589,docs/reports/task_590_runtime_market_data_source_unification/task_590_runtime_market_data_source_unification.md,docs/reports/task_590_runtime_market_data_source_unification/task_590_decision.csv,docs/reports/task_590_runtime_market_data_source_unification,python -m unittest tests.test_trader_terminal_catalog tests.test_task586_frontend_paper_ops_integration tests.test_task_089_market_signal_refresh,Paper entry charts and indicator context now prefer trading.db runtime bars and snapshots over one-off raw intraday CSV fallback.
Task591,Institutional Production Hardening Wave 1,Research Governance,Accepted,active,not-applicable,runtime-source,Task590,docs/reports/task_591_institutional_production_hardening_wave1/task_591_institutional_production_hardening_wave1.md,docs/reports/task_591_institutional_production_hardening_wave1/task_591_decision.csv,docs/reports/task_591_institutional_production_hardening_wave1,python -m unittest tests.test_runtime_import_contract tests.test_slack_client_safety tests.test_task587_slack_trading_report_integration tests.test_task589_nasdaq_paper_ops_hardening,Hardens runtime import compatibility and central Slack secret blocking without changing trading behavior.
Task592,Hibernate First Workstation Ops,Execution & Risk,Accepted,active,not-applicable,runtime-source,Task591,docs/reports/task_592_hibernate_first_workstation_ops/task_592_hibernate_first_workstation_ops.md,docs/reports/task_592_hibernate_first_workstation_ops/task_592_decision.csv,docs/reports/task_592_hibernate_first_workstation_ops,python -m unittest tests.test_task588_nasdaq_paper_supervisor_scripts tests.test_task588_kis_paper_market_hours_runtime_loop tests.test_runtime_import_contract,Locks the workstation policy to hibernate-first scheduled paper operations and disables normal shutdown power actions.
Task593,Mobile Remote Ops,Execution & Risk,Accepted,active,not-applicable,runtime-source,Task592,docs/reports/task_593_mobile_remote_ops/task_593_mobile_remote_ops.md,docs/reports/task_593_mobile_remote_ops/task_593_decision.csv,docs/reports/task_593_mobile_remote_ops,python -m unittest tests.test_mobile_remote_ops_contract,Enables phone-based remote monitoring through Tailscale private tailnet and stable Trader Terminal mobile server.
Task594,Investment App Frontend Overhaul,Research Governance,Accepted,active,not-applicable,runtime-source,Task593,docs/reports/task_594_investment_app_frontend_overhaul/task_594_investment_app_frontend_overhaul.md,docs/reports/task_594_investment_app_frontend_overhaul/task_594_decision.csv,docs/reports/task_594_investment_app_frontend_overhaul,python -m unittest tests.test_project_governance tests.test_task586_frontend_paper_ops_integration tests.test_trader_terminal_catalog tests.test_frontend_continuity_contract tests.test_mobile_remote_ops_contract tests.test_runtime_import_contract,Rebuilds paper-trading frontend into iPhone-first investment-app style account trade detail activity provenance and operations views.
Task595,Feedback Integrated Development Plan,Regime Research,Accepted,active,diagnostic-only,runtime-source,Task594,docs/reports/task_595_feedback_integrated_development_plan/task_595_feedback_integrated_development_plan.md,docs/reports/task_595_feedback_integrated_development_plan/task_595_decision.csv,docs/reports/task_595_feedback_integrated_development_plan,python scripts/task_registry_validate.py,필수 총괄 feedback-integrated development plan with team boards scorecard source scoreboard freshness gate and active lane triage.
Task596,Daily Feedback Complete Application,Research Governance,Accepted,active,diagnostic-only,runtime-source,Task595,docs/reports/task_596_daily_feedback_complete_application/task_596_daily_feedback_complete_application.md,docs/reports/task_596_daily_feedback_complete_application/task_596_decision.csv,docs/reports/task_596_daily_feedback_complete_application,python -m unittest tests.test_task583_live_signal_refresh_repair tests.test_task584_runtime_strategy_decision_gate tests.test_task589_nasdaq_paper_ops_hardening tests.test_task586_frontend_paper_ops_integration tests.test_trader_terminal_catalog,Applies daily feedback to theme_10x7 runtime universe coverage runtime state capture EOD blocker-first reporting and paper ops frontend visibility while remaining diagnostic-only.
Task597,Frontend Backend Paper Ops Triage,Research Governance,Accepted,active,diagnostic-only,runtime-source,Task596,docs/reports/task_597_frontend_backend_paper_ops_triage/task_597_frontend_backend_paper_ops_triage.md,docs/reports/task_597_frontend_backend_paper_ops_triage/task_597_decision.csv,docs/reports/task_597_frontend_backend_paper_ops_triage,python -m unittest tests.test_task589_nasdaq_paper_ops_hardening tests.test_trader_terminal_catalog tests.test_task586_frontend_paper_ops_integration tests.test_task583_live_signal_refresh_repair tests.test_task584_runtime_strategy_decision_gate,Adds 필수-reviewed owner triage and frontend/backend EOD freshness ordering diagnostics for paper ops while remaining diagnostic-only.
Task598,Paper Week Feedback Operating Plan,Research Governance,Accepted,active,diagnostic-only,runtime-source,Task597,docs/reports/task_598_paper_week_feedback_operating_plan/task_598_paper_week_feedback_operating_plan.md,docs/reports/task_598_paper_week_feedback_operating_plan/task_598_decision.csv,docs/reports/task_598_paper_week_feedback_operating_plan,python scripts/task_registry_validate.py,Converts the 2026-05-19 to 2026-06-02 paper-trading feedback into durable team diagnostics gates cadence and owner development plan while remaining diagnostic-only.
Task599,Strategy Acceptance Program,Regime Research,Accepted,active,not-accepted,runtime-source,Task598,docs/reports/task_599_strategy_acceptance_program/task_599_strategy_acceptance_program.md,docs/reports/task_599_strategy_acceptance_program/task_599_decision.csv,docs/reports/task_599_strategy_acceptance_program,python validate_readiness_registry.py,Defines the firm-grade program gates and readiness registry required to move from NOT_ACCEPTED to ACCEPTANCE_REVIEW while real capital remains forbidden.
T600-0,Position Lifecycle Contract,Execution & Risk,Accepted,active,not-accepted,runtime-source,Task599,docs/execution/position_lifecycle_contract.md,docs/reports/task_600_0_position_lifecycle_contract/task_600_0_decision.csv,docs/reports/task_600_0_position_lifecycle_contract,python validate_readiness_registry.py,Defines the position lifecycle state machine exit types required columns and acceptance rules before T600-1 implementation.
T601-0,Candidate Funnel Contract,Candidate Funnel Research,Accepted,active,not-accepted,runtime-source,T600-0,docs/candidate_funnel/candidate_funnel_contract.md,docs/reports/task_601_0_candidate_funnel_contract/task_601_0_decision.csv,docs/reports/task_601_0_candidate_funnel_contract,python validate_readiness_registry.py,Defines candidate_funnel_events SQL and funnel stage contract before T601-1 implementation.
T602-0,Replay Acceptance Contract,Replay & Simulation,Accepted,active,not-accepted,runtime-source,T601-0,docs/replay/replay_acceptance_contract.md,docs/reports/task_602_0_replay_acceptance_contract/task_602_0_decision.csv,docs/reports/task_602_0_replay_acceptance_contract,python validate_readiness_registry.py,Defines decision order fill and position replay match criteria before T602-1 implementation.
T603,Registry Consumption Audit,Research Governance,Accepted,active,not-accepted,runtime-source,T602-0,docs/reports/task_603_registry_consumption_audit/task_603_registry_consumption_audit.md,docs/reports/task_603_registry_consumption_audit/task_603_decision.csv,docs/reports/task_603_registry_consumption_audit,python validate_readiness_registry.py,Audits whether current status strings are consumed from registry/readiness sources or hardcoded/re-derived in code and generated catalogs.
T600-1,Position Lifecycle Implementation,Execution & Risk,Accepted,active,not-accepted,runtime-source,T600-0,docs/reports/task_600_1_position_lifecycle_implementation/lifecycle_test_report.md,docs/reports/task_600_1_position_lifecycle_implementation/task_600_1_decision.csv,docs/reports/task_600_1_position_lifecycle_implementation,python -m unittest tests.test_task600_603_acceptance_program_implementation,Implements exact-ID position_lifecycle and hard-stop candidate evidence without submitting exit orders.
T601-1,Candidate Funnel Events Implementation,Candidate Funnel Research,Accepted,active,not-accepted,runtime-source,T601-0,docs/reports/task_601_1_candidate_funnel_implementation/candidate_funnel_audit.md,docs/reports/task_601_1_candidate_funnel_implementation/task_601_1_decision.csv,docs/reports/task_601_1_candidate_funnel_implementation,python -m unittest tests.test_task600_603_acceptance_program_implementation,Populates candidate_funnel_events from generated decisions through ordered filled and closed stages using exact IDs only.
T602-1,Replay Acceptance Implementation,Replay & Simulation,Accepted,active,not-accepted,runtime-source,T602-0,docs/reports/task_602_1_replay_acceptance_implementation/paper_replay_acceptance_report.md,docs/reports/task_602_1_replay_acceptance_implementation/task_602_1_decision.csv,docs/reports/task_602_1_replay_acceptance_implementation,python -m unittest tests.test_task600_603_acceptance_program_implementation,Produces replay_validation and replay_diff surfaces for decision order fill and position matching.
T603-1,Registry Backed Readiness Consumption,Research Governance,Accepted,active,not-accepted,runtime-source,T603,docs/reports/task_603_1_registry_backed_readiness_consumption/task_603_1_registry_backed_readiness_consumption.md,docs/reports/task_603_1_registry_backed_readiness_consumption/task_603_1_decision.csv,docs/reports/task_603_1_registry_backed_readiness_consumption,python -m unittest tests.test_trader_terminal_catalog tests.test_task600_603_acceptance_program_implementation,Generates canonical readiness_registry.json for catalog and frontend consumption.
T600-2,Exit Generator Program,Execution & Risk,Accepted,active,not-accepted,runtime-source,T600-1,docs/reports/task_600_2_exit_generator_program/lifecycle_test_matrix.md,docs/reports/task_600_2_exit_generator_program/task_600_2_decision.csv,docs/reports/task_600_2_exit_generator_program,python -m unittest tests.test_task600_602_2_acceptance_blocker_forensics,Generates diagnostic SELL lifecycle rows from hard stop take profit and max hold rules without modifying broker-truth fills.
T601-2,Concentration Forensics,Candidate Funnel Research,Accepted,active,not-accepted,runtime-source,T601-1,docs/reports/task_601_2_concentration_forensics/concentration_rootcause.md,docs/reports/task_601_2_concentration_forensics/task_601_2_decision.csv,docs/reports/task_601_2_concentration_forensics,python -m unittest tests.test_task600_602_2_acceptance_blocker_forensics,Explains symbol concentration with symbol-stage counts entropy top shares and gini without changing cooldown ranking or portfolio selection.
T602-2,Position Replay Root Cause,Replay & Simulation,Accepted,active,not-accepted,runtime-source,T602-1,docs/reports/task_602_2_position_replay_root_cause/position_replay_failure_report.md,docs/reports/task_602_2_position_replay_root_cause/task_602_2_decision.csv,docs/reports/task_602_2_position_replay_root_cause,python -m unittest tests.test_task600_602_2_acceptance_blocker_forensics,Identifies top replay failure causes for Position Match zero percent and writes position_replay_diff.csv.
T600-3,Runtime Exit Engine,Execution & Risk,Accepted,active,not-accepted,runtime-source,T600-2,docs/reports/task_600_3_runtime_exit_engine/runtime_exit_report.md,docs/reports/task_600_3_runtime_exit_engine/task_600_3_decision.csv,docs/reports/task_600_3_runtime_exit_engine,python -m unittest tests.test_task600_3_runtime_exit_engine,Creates exact-ID controlled paper runtime SELL fills and closes 23 lifecycle rows while real capital remains forbidden.
T601-3,Portfolio Selection Layer,Candidate Funnel Research,Accepted,active,not-accepted,runtime-source,T601-2,docs/reports/task_601_3_portfolio_selection_layer/portfolio_selection_audit.md,docs/reports/task_601_3_portfolio_selection_layer/task_601_3_decision.csv,docs/reports/task_601_3_portfolio_selection_layer,python -m unittest tests.test_task601_3_portfolio_selection_layer,Adds candidate selection controls with top3_share 0.75 entropy improvement and 100 percent explanation coverage.
T602-3,Position Reconstruction Engine,Replay & Simulation,Accepted,active,not-accepted,runtime-source,T602-2,docs/reports/task_602_3_position_reconstruction_engine/position_replay_acceptance_report.md,docs/reports/task_602_3_position_reconstruction_engine/task_602_3_decision.csv,docs/reports/task_602_3_position_reconstruction_engine,python -m unittest tests.test_task602_3_position_reconstruction_engine,Reconstructs positions by exact entry and exit fill IDs with Position Match 95.8333 percent after T600-3 runtime paper exits.
T600-4,Broker Truth Exit Lifecycle Integration,Execution & Risk,Accepted,active,not-accepted,runtime-source,T600-3,docs/reports/task_600_4_broker_truth_exit_lifecycle/broker_truth_exit_report.md,docs/reports/task_600_4_broker_truth_exit_lifecycle/task_600_4_decision.csv,docs/reports/task_600_4_broker_truth_exit_lifecycle,python -m unittest tests.test_task600_4_broker_truth_exit_lifecycle,Implements exact broker truth exit mapper but current DB has broker_truth_sell_fills zero so acceptance remains blocked.
T602-4,Order Replay Recovery Program,Replay & Simulation,Accepted,active,not-accepted,runtime-source,T602-3,docs/reports/task_602_4_order_replay_recovery/order_replay_acceptance_report.md,docs/reports/task_602_4_order_replay_recovery/task_602_4_decision.csv,docs/reports/task_602_4_order_replay_recovery,python -m unittest tests.test_task602_4_order_replay_recovery,Recovers Order Match to 1.0 by exact order row reconstruction while preserving six decision lineage gaps.
T600-5,STOP TP Validation,Execution & Risk,Accepted,active,not-accepted,runtime-source,T600-4,docs/reports/task_600_5_stop_tp_validation/stop_tp_validation.md,docs/reports/task_600_5_stop_tp_validation/task_600_5_decision.csv,docs/reports/task_600_5_stop_tp_validation,python -m unittest tests.test_task600_5_stop_tp_validation,Validates actual runtime exits and reports STOP zero TP zero because ATR at entry source is unavailable.
